auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
4792110;67;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 17:09:19
4792427;68;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 18:33:49
4792864;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 18:31:09
4793219;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 19:01:45
4793432;255;255;66;71;heat;auto;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 09:30:12
4797284;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 19:14:38
4797804;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 18:46:20
4800479;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 21:40:54
4802287;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 23:50:11
4807450;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-22 13:02:23
4807453;68;75;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-24 08:36:57
4807480;67;75;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-24 08:37:10
4807871;255;255;74;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-11-22 11:49:53
4810252;68;75;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-24 08:38:10
4820228;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-24 03:42:43
4820716;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-24 18:19:53
4821891;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 22:00:08
4826884;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-24 19:16:44
4829554;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-24 18:38:01
